Filepath,setBpm,Fail Reason
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106a5\,120,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106a6\,174,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106ab\,150,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106ac\,150,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106ae\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106ae\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106b\,130,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106b0\,119,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106b1\,105,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106b7\,200,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106bc\,142,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106bf\,122,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106cc\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106cc\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106ce\,83,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106de\,150,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106df\,160,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106e0\,100,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106e2\,123,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106e5\,220,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106e8\,235,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106e9\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106e9\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106ec\,166,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106ed\,125,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106ee\,200,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106f\,98,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106f0\,0,No BPM in File
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106f0\,0,0,No Audio File Found
Z:\BS Files\BeastSaber\BeastSaber Pt 2\106fe\,175,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\107\,168,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1070\,64,In Range
Z:\BS Files\BeastSaber\BeastSaber Pt 2\1070d\,0,No BPM in File
